Comment,sentiment
We need a counter for every time Hasbulla curses lol,1 star
I love Gabe and I’m not afraid to admit it ,5 stars
Y'all should have put him in a Chucky costume then had him chasing em ,1 star
love the content god blessed you all,5 stars
This was the coolest video you guys have EVER DONE!!!,5 stars
"I love what Kyle has created, a team/ family who just does exciting things for a living and spreads joy!",5 stars
Great video boys! You the man Kyle!,5 stars
"Love the new style of videos , it’s
Like watching a wholesome show. I love it , and the production is high quality! 🫶",5 stars
I’ve never smiled for 36 min straight. I love this guy,5 stars
Kyle looks like a proud father throughout this whole video ,5 stars
"This 100% one of the best videos of this year already. MrBeast might got the budget, but Hasbulla and Nelk got our hearts. There wasn't a moment without a smile on my face!",5 stars
Keep crushing it boys!!!!,5 stars
I literally can't watch hasbulla do anything in this video without imagining him abusing that cat. Goes to show people in this world are not always who you think they are..,1 star
"Хасбулла красавчик
Спасибо парням за такой подарок ему.",5 stars
The guy at 35:07 crying was all of us,5 stars
I wanna watch a 3 hour video of these guys  I’ve never laughed at a video like this before,5 stars
"Love to seeing Hasbullah,he's so entertaining guy",5 stars
This is going to be a fun ride ,4 stars
Hasbulla with the knife had me cracking up...lol,1 star
Gotta love the nelk boys  great video,5 stars
He is so little but his craziness is big ,3 stars
"I bet everyone that watched this video couldn't stop smiling, from the start to the end.",1 star
Kyles like a proud dad now,5 stars
This is easily the best NELK video!!,5 stars
Best video yet! Nelk is awesome and so is Hasbulla!,5 stars
hangin out w nelk n hasbulla gotta be my biggest dream,5 stars
I want to see Hasbullas camera roll of all of his videos ,5 stars
36 minutes & 52 seconds of straight smiling. This video was so wholesome & heartfelt I loved It Hasbulla & nelk are the two duos nobody knew they needed,5 stars
kyle and donna looking like proud dads,5 stars
17:47 Kyle looked like a happy dad ,5 stars
"Editing is top notch , great vid guys",5 stars
"This whole video is so wholesome, lol",5 stars
Hasbulla is like the son they never had.,5 stars
Respect to the Nelk boys for treating Hasbulla so well.  Respect to Hasbulla for not smeshing them.,5 stars
"Large up this boys, had me in bits ",1 star
Little dude look like he had an awesome stay !,5 stars
"Please for the love of everything holy, bring these boys back!",5 stars
"This whole ass video was fire but 18:52
 kyle got me rolling w the facial expressions",1 star
This is the first video to make me smile in a long time,5 stars
"Going through a rough time myself rn and everytime this little guy pops up I always instantly smile.

Thank You Hasbulla for making people smile.",5 stars
One of the best videos yet! What a Banger! ️,5 stars
respect for yall,5 stars
30:55 that had me dead ,1 star
"Great video, thanks to do this trip for Hasbulla",5 stars
Man this whole video was such a fucking vibe when u guys said we’re saying bye to hasbullah I got sad too as if I’m saying bye sheesh,1 star
Dude hands down probably one of the best and most wholesome videos you guys have done in years. Thanks for sharing the experience brother,5 stars
this is what it's about. no party crap and good times all round. well done boys,5 stars
More wholesome Nelk moments,3 stars
How can you not love Hasbulla,1 star
I love seeing the relationship between the full send team and hasbulla it's amazing to watch,5 stars
So nice to see Mansur back also!!!,5 stars
It makes me so happy when Kyle is around Hasbulla he’s almost like his older brother it’s so sweet,5 stars
“Get the knife” had me dying,1 star
"I have no idea why people hate on hasbulla..sometimes u see people on Instagram and other social media saying dumb comments and it’s like, this little guy brings laughs and smiles and good energy every where he goes. I laughed and smiled for a half hour straight watching this video ️",5 stars
"The Greatest video ever,Hasby should be a  permanent NELK member,7 million views in 3 days ,the guys is a legit SUPERSTAR",5 stars
So unfortunate Hasbulla turned out to abuse his cat. Seemed like a genuine guy.,1 star
Such a cute 228 month old love the way they all cuddle that little man baby!!! Lmfao,5 stars
I had the biggest smile on my face the entire time. This guy's smile and laugh is infectious! This is some good harmless fun we can all use in times of stress!,5 stars
There is no reason you had to go that hard on the sound track but im glad you did,4 stars
Bro i legit got emotional at the end what a banger boys,5 stars
“Here there are African Americans!” Hahha omfg that one caught me off guard,1 star
The guy who cried in the last video is a legend,5 stars
Thank you everyone who rewarded this kid for saying “oh shit” everytime and now it’s all he says ,5 stars
"Massive respect to the boys for all the respect they showed to Hasbulla and his team, you can tell they actually fuck with him",5 stars
"Beating the shit out of Steiney, Mickey Mouse & harassing a dolphin. I love it, keep the content coming NELK!!!",5 stars
You should add one with him holding a cat.  Good job picking this clown fellas! ,5 stars
The most wholesome thing I've seen today,5 stars
He needs a horror movie. Fuggin scares me.,2 stars
These last three videos have truly been the best stuff you guys have ever put out. Its the most genuine content on youtube.,5 stars
Man I watch a lot of YouTube and this video has to be my favorite EVER. Smiling cheek to cheek for 36 min straight. The chemistry and bond between Kyle and Hasbi is unmatched. Unreal stuff from NELK,5 stars
Top notch content by nelkboyz  ,5 stars
“we should’ve done cats” aged well ,5 stars
The 36mins felt like 6mins ,2 stars
34:00 damn he hit the Ray Liotta laugh lol,1 star
"NELK and Khabib family is a combination on Youtube that genuinely cannot be matched, seriously entertaining to watch.",1 star
Awesome video boys! ,5 stars
Hasbulla leaving is enough to make a grown man cry,1 star
The puppies were a good move ,4 stars
I really hope one of you guys sees this but going to Amsterdam would be a BANGER,3 stars
So cool Disney land 24:13 is the best part Hasbulla laughing with Kyle is priceless! Steiny 30:38 is soo funny,5 stars
"From beginning to end, this was a movie. Adventure, emotion, all in it on full level. You guys' interaction with Hasby is wholesome, and nice to watch.",5 stars
Kyle being hasbullas older brother is the sweetest thing ever.  this is awesome.,5 stars
that ending was shweet ,2 stars
"Absolute legend, let’s goo Gilbert",5 stars
Thanks for the video!!! Made my day.,5 stars
What a great video..NELK BOYS are the sht!!!,5 stars
I actually love seeing Stiney being more apart of the videos and enjoying himself,5 stars
15:40 I love when he kicks his ass Steiny gets  so scared,5 stars
I totally love him ,5 stars
That video was soooo funny!! ,5 stars
Awesome collab :D ... keep up those vids... fireeee,5 stars
Quality content ,5 stars
It’s honestly so heart warming seeing these guys out a genuine smile on Hasbullas face.,5 stars
"This is real content, another dub nelk boys",5 stars
Mel thank you guys bro it’s so much laughs,1 star
This might just be my favorite YouTube video of all time !!!,5 stars
Lmao Hasbulla redlining that car was classic! Dude was freaking out about the cars engine poppin. Too used to those trucks Middle Eastern redline.,1 star
This guy is hilarious. ,5 stars
"I was literally smiling and completely dialed in for the entire video,didn't think about anything else going on in life while this was on. Unbelievable content once again. 🇮🇪",1 star
"That was crazy how the sea world instructor recognised you, I remember that video so well",5 stars
In all fairness those dogs were like full sized wolfs to him.,1 star
Kyle said “cats are fast tho an shit” and idk why that was the funniest shit I’ve heard,5 stars
Great video end to end but hasbulla was revving the hell out of that guys cars,4 stars
Easily could be the best nelk video ever released,5 stars
"man this is by far the best episode EVER. showing this side of hasbulla and any of the other Dagestan crew has done wonders for them all. Everyone already liked them, but showing this side is fucking pure GOLD. Hasbulla really seems to be a great ass dude, and it was awesome seeing him grab Kyle when they were on that ride. Shows how much trust he has in The Boys.",5 stars
What a good ass video. There is hope for humanity,5 stars
Love it when he says “oh shit” ,5 stars
We need more Videos with Hasbulla Nelk Boys can u please make more I love it,5 stars
This was amazing ,5 stars
Greatest episode so far !,5 stars
"hasbullas translators and his boys are just good awesome men. I loved this episode. Great job nelk, seriously.",5 stars
"That 50 Cal (I think) would've caused hasbulla a strain/sprain, to be honest. That test shot was violent.",2 stars
That evil little laugh tho!,1 star
When he learns English he’s gonna have a lot to say about back then,3 stars
He is the cutest i cant ,5 stars
who else was tearing up at the end of the video:((,1 star
Its honestly nice seeing these guys get away from business and just enjoy themselves. Looked like they had so much fun this trip,5 stars
"The way he says, ""Oh shit,"" is classic!",5 stars
Dana protecting his nuts,5 stars
This is awesome great video you guys are awesome,5 stars
Man I love Hasbulla ️,5 stars
We want Hasbulla x Nelkboys Netflix series !,5 stars
Watching Kyle with Hasbulla makes me want to see him as a dad ,4 stars
Fuckin loved watching this!,5 stars
Highly appreciated nelkboys for bringing him to USA,5 stars
This is one of the best videos in YouTube history.,5 stars
Nelk Dana and Hasbulla are the perfect combo,5 stars
8M views in 4 days. That has to be some kind of a youtube record.,4 stars
Kyle looks like a proud dad whenever Hasbulla does something!,5 stars
"Man Hasbulla is living his best life! Hope he knows how lucky he is to be surrounded by people who not only manage him very well, but seem to also truly care about him.",5 stars
One of the best YouTube videos I have ever watched great video ,5 stars
"I don't know you guys and little do I know about mr hasbulla, but this video made me very happy. Thank you guys.",5 stars
This is fucking incredible.,5 stars
All thanks to the Nelk Boys,5 stars
kyle and hasbullas friendship makes me smile man,5 stars
Pure joy ,5 stars
Hasbulla + Nelk is best thing of this year,5 stars
HANDS DOWN ONE OF MY FAVORITE VIDEOS EVER 🫶🫶️,5 stars
This is the best fucking nelk video ever and I’ve been rocking with y’all for years. First it was NELK goes Middle East. This tops that.,5 stars
Hasbulla is a treasure,5 stars
The look of pure happiness on Hasbulla’s face during indoor skydiving is the best thing ever,5 stars
Love that little guy! Great Vid guys!! ,5 stars
Best hasbulla vid ever. Fucking spectacular ,5 stars
25:22  I can only imagine what the guy in costume is thinking ,3 stars
Hasbulla says thank you thank you is so cute,5 stars
I would've round house pillow smashed hasbula when he had the knife lmao,1 star
I can watch hasbulla doing random shit and be entertained for hours man love this little man,5 stars
Hasbulla!!! He is the freaking man! The toppers G,5 stars
"34:12 Hasbulla says “Leave them alone” about girls, so polite and respectful ",5 stars
Lil dudes laugh is pure evil lmao,1 star
Steiny- “I put all those knives in his carry on” ,5 stars
He is genuinely scared  of the puppies ,5 stars
Was smiling throughout this whole video we need more shit like this boys,1 star
"I want to see Hasbulla""s camera roll",3 stars
This is so wholesome maaan,5 stars
We need Hasbulla and Andrew Tate meet up together ,5 stars
him bullying steiny is so fucking funny,1 star
everything Hasbulla does is a funny TikTok  cool dude,5 stars
"Everyone wants to argue because of our differences, meanwhile these 2 groups celebrated and enjoyed each other’s differences. Loved it!",5 stars
this has to be the best and funniest video i have ever watched.,5 stars
I judged this video before I even saw it. Absolute banger will done guys,1 star
this is a reminder that even the smallest people can make it big,5 stars
This is awesome ,5 stars
i literally love Hasbulla,5 stars
Honestly watching this video made me a lot happier and I had been smiling the whole time! Loved how nelk boys respected hasbullah by not drinking in-front of him!,5 stars
best video i’ve seen this year hands down,5 stars
I can’t wait for the next time he is back,1 star
This is so wholesome..,5 stars
I truly loved this video.,5 stars
"Let’s play a drinking game. 
Take a shot everytime you hear hasbulla say “oh shit”",1 star
"I used to watch your videos and I’d wanna get drunk everytime , I watch the videos now and I wanna get my money up to travel and see the world , experience new things & help others more. You boys are a huge inspiration xo",5 stars
this is one of my favorite videos ,5 stars
His laugh is the fucking best,5 stars
"before the video started I laughed, because I read the title of the video ",1 star
it's crazy how the world is become more connected !,5 stars
4:12 hasbi gonna kick the shit outa those dogs,1 star
I legit smiled ear to ear this entire video. Way to welcome him to America the right way!,5 stars
"Gabe need to do that indoor skydiving, would that work ",3 stars
Duel of fates as soon as kyle picks the flame thrower up is legendary. W edit man,5 stars
"""We want you to meet someone really special""
""Elon Musk?""
""No""
lmao",1 star
Great video! Not gonna lie though hasbulla firing that turret woulda be the highlight of my life ,5 stars
Hasbulla looked like Chucky when he pulled out the knife ,1 star
We need more unedited and longer content. This way we get more of the experience and there cannot be excuses with editors.,5 stars
FIRE ASS VID YO  THE ENTERTAINMENT NEVER FAILS,5 stars
One of the best videos I've seen this year.,5 stars
Hasbulla running round with the knife like Chucky ,1 star
"Hasbulla:Relax bro!!

(Continues to press the gas hitting the bumpest of hills)",4 stars
Lol his reaction to everything: ooohh shitt ,1 star
Steiny had me weak “ we’re giving chucky an even bigger and sharper knife”,3 stars
"Y’all brought doggs lolll 

That’s something id surprise my kid for their birthday.",5 stars
His English is actually okay. He understands more than I'd expected,3 stars
He called Hasbulla a pu@“$ and he start wailing on him ,1 star
W ass video Nelk boys this made my day ,5 stars
Gotta love that little face,5 stars
This made me smile the whole way through. The Nelk boys really treated him like a king ,5 stars
Watching hasbulla throw hands w steiny is oddly satisfying,4 stars
Nelk with the bangers,3 stars
Nelk boys treated hasbulla like if he was make-a-wish kid,1 star
LOVE HIM ️🫶 wee need more videos of him more vlogs !,5 stars
"Hasbulla three favorite words...Brother, Oh Shit ",5 stars
we need a pt 2. so much to see in the states for him would be awesome,5 stars
This video in one word EPIC.,5 stars
i love hasbula. hes a cool dude,5 stars
So FN awesome  god bless,5 stars
Best. Episode. Ever.,5 stars
I wished that the video would go on forever,3 stars
Hasbulla is my spirit animal,5 stars
"When you have friends like the Nelks, you win at life!",5 stars
"Best collab ever, everyone loves the Nelk boys well except Logan ",5 stars
"I KNOW YOU DIDNT JUST CALL NEW PRINTED SHIRTS ""VINTAGE"" ",3 stars
Oh shit… love this little guy man,5 stars
this video is pure gold,5 stars
I’ve genuinely never enjoyed watching a video more than this. Well done boys!,1 star
"""Elon Musk!"" was my favorite part ",5 stars
"Actually crazy how much you can do in america, this video was a good break from reality",1 star
Best NELK video yet!,5 stars
"Yeah, I'd be sad every time he left too if I was his friend. His little deformed heart is a ticking time bomb.",2 stars
"kyle is such a geniune good hearted man, people are very lucky to be his friends.",5 stars
